AUTHOR,BORN-DIED,TITLE,TECHNIQUE,LOCATION,URL,TYPE,FORM,SCHOOL,TIMEFRAME,,
BACCHIACCA,"(b. 1494, Firenze, d. 1557, Firenze)",Baptism of Christ,"Oil on poplar panel, 58 x 41 cm",Private collection,http://www.wga.hu/art/b/bacchiac/baptism2.jpg,painting,religious,Italian,1501-1550,,
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Dutch Vessels off a Coastline on a Breezy Day,"Oil on canvas, 98 x 135 cm",Private collection,http://www.wga.hu/art/b/backhuys/vessels1.jpg,painting,landscape,Dutch,1651-1700,,
"BALDRIGHI, Giuseppe","(b. 1723, Stradella, d. 1803, Parma","The Family of Philip, Duke of Parma",Oil on canvas,"Galleria Nazionale, Parma",http://www.wga.hu/art/b/baldrigh/family.jpg,painting,portrait,Italian,1751-1800,,
"BALDRIGHI, Giuseppe","(b. 1723, Stradella, d. 1803, Parma",Portrait of Antonio Ghedini and his Family,"Oil on canvas, 170 x 123 cm",Private collection,http://www.wga.hu/art/b/baldrigh/ghedini.jpg,painting,portrait,Italian,1751-1800,,
"BALDRIGHI, Giuseppe","(b. 1723, Stradella, d. 1803, Parma)",Portrait of a Lady in an Elaborately Embroidered Blue Dress,"Oil on canvas, 88 x 75 cm",Private collection,http://www.wga.hu/art/b/baldrigh/portlady.jpg,painting,portrait,Italian,1751-1800,,
"BARRAUD, William","(b. 1810, Lambeth, d. 1850, Kensington)",A Grey in a Stable,"Oil on canvas, 64 x 76 cm",Private collection,http://www.wga.hu/art/b/barraud/a_gray.jpg,painting,other,English,1801-1850,,
"BARRAUD, William","(b. 1810, Lambeth, d. 1850, Kensington)","Portrait of Lord Methuen's Spaniels, Gipsy and Fairy","Oil on canvas, 66 x 92 cm",Private collection,http://www.wga.hu/art/b/barraud/spaniels.jpg,painting,portrait,English,1801-1850,,
"BARRIÈRE, Dominique","(b. ca. 1618, Marseille, d. 1678, Roma)",Façade of the Oratorio dei Filippini,Etching,"Biblioteca Apostolica, Vatican",http://www.wga.hu/art/b/barriere/oratorio.jpg,graphics,other,French,1651-1700,,
BARTOLOMEO VENETO,"(active 1502, d. 1531, Torino)",Madonna and Child,"Oil on panel, 47 x 37 cm",Private collection,http://www.wga.hu/art/b/bartolom/veneto/madonna.jpg,painting,religious,Italian,1501-1550,,
BARTOLOMEO VENETO,"(active 1502, d. 1531, Torino)",Madonna and Child (detail),Oil on panel,Private collection,http://www.wga.hu/art/b/bartolom/veneto/madonna1.jpg,painting,religious,Italian,1501-1550,,
"BARTSIUS, Willem","(b. ca. 1612, Enkhuize, d. after 1639, Amsterdam)",Abraham Pleading with Sarah on Behalf of Hagar,"Oil on canvas, 121 x 89 cm",Private collection,http://www.wga.hu/art/b/bartsius/abraham.jpg,painting,religious,Dutch,1601-1650,,
